locus	size
Contig_33841	318
Contig_33850	296
Contig_33862	316
Contig_33873	290
Contig_33881	318
Contig_33887	261
Contig_33889	283
Contig_33947	316
Contig_34000	286
Contig_34011	310
Contig_34015	273
Contig_34022	319
Contig_34093	267
Contig_34100	294
Contig_34242	317
Contig_34359	284
Contig_34398	325
Contig_34607	284
Contig_34611	295
Contig_34626	324
Contig_34655	312
Contig_34833	284
Contig_34845	302
Contig_34907	271
Contig_34919	288
Contig_34953	301
Contig_35034	319
Contig_35102	272
Contig_35109	289
Contig_35121	312
Contig_35126	267
Contig_35151	308
Contig_35167	298
Contig_35183	313
Contig_35255	301
Contig_35330	315
Contig_35374	285
Contig_35418	328
Contig_35477	289
Contig_35583	289
Contig_35605	279
Contig_35671	309
Contig_35695	315
Contig_35786	287
Contig_35800	317
Contig_36009	297
Contig_36020	301
Contig_36113	345
Contig_36150	365
Contig_36153	307
Contig_36164	306
Contig_36169	308
Contig_36223	313
Contig_36529	282
Contig_36533	304
Contig_36577	272
Contig_36711	283
Contig_36718	272
Contig_36739	286
Contig_36756	314
Contig_36831	318
Contig_36863	305
Contig_36884	318
Contig_36977	295
Contig_36986	311
Contig_36989	378
Contig_36998	304
Contig_37123	296
Contig_37148	297
Contig_37162	314
Contig_37291	315
Contig_37515	308
Contig_37587	281
Contig_37743	323
Contig_37891	297
Contig_37968	311
Contig_38105	304
Contig_38120	287
Contig_38144	263
Contig_38181	277
Contig_38207	309
Contig_38218	326
Contig_38247	297
Contig_38299	301
Contig_38333	314
Contig_38410	322
Contig_38502	286
Contig_38556	271
Contig_38574	304
Contig_38600	275
Contig_38617	267
Contig_38648	326
Contig_38678	318
Contig_38804	286
Contig_38832	318
Contig_38845	280
Contig_38865	295
Contig_38880	285
Contig_38885	351
Contig_38929	303
Contig_39032	276
Contig_39162	315
Contig_39174	287
Contig_39193	319
Contig_39196	327
Contig_39204	285
Contig_39212	278
Contig_39333	309
Contig_39355	282
Contig_39384	288
Contig_39511	320
Contig_39564	301
Contig_39568	266
Contig_39598	328
Contig_39603	265
Contig_39635	298
Contig_39806	316
Contig_39819	297
Contig_39876	316
Contig_39896	281
Contig_40076	355
Contig_40155	324
Contig_40234	331
Contig_40403	309
Contig_40426	307
Contig_40488	293
Contig_40525	273
Contig_40577	280
Contig_40760	316
Contig_40800	299
Contig_40817	285
Contig_40846	289
Contig_40856	327
Contig_40869	312
Contig_40875	312
Contig_40885	286
Contig_40908	293
Contig_40979	312
Contig_41222	320
Contig_41232	325
Contig_41296	285
Contig_41313	290
Contig_41325	285
Contig_41386	289
Contig_41436	318
Contig_41456	327
Contig_41568	272
Contig_41579	351
Contig_41704	309
Contig_41724	331
Contig_41729	302
Contig_41732	310
Contig_41772	300
Contig_41775	267
Contig_41810	286
Contig_41834	297
Contig_41837	309
Contig_41910	328
Contig_41916	323
Contig_42054	308
Contig_42093	287
Contig_42094	267
Contig_42240	385
Contig_42280	293
Contig_42431	301
Contig_42432	316
Contig_42477	269
Contig_42534	328
Contig_42579	372
Contig_42662	324
Contig_42705	318
Contig_42800	321
Contig_42884	302
Contig_42920	291
Contig_42933	346
Contig_42946	319
Contig_42950	366
Contig_43079	338
Contig_43170	281
Contig_43615	329
Contig_43667	301
Contig_43716	280
Contig_43723	326
Contig_43851	263
Contig_43908	293
Contig_44101	279
Contig_44120	317
Contig_44164	300
Contig_44212	278
Contig_44288	316
Contig_44415	303
Contig_44488	320
Contig_44490	306
Contig_44525	303
Contig_44709	283
Contig_44732	305
Contig_44761	314
Contig_44858	324
Contig_44927	294
Contig_45093	321
Contig_45139	328
Contig_45311	296
Contig_45314	317
Contig_45335	297
Contig_45339	302
Contig_45388	353
Contig_45430	281
Contig_45511	305
Contig_45543	299
Contig_45648	306
Contig_45744	277
Contig_45788	266
Contig_45878	356
Contig_45920	356
Contig_46423	274
Contig_46463	316
Contig_46525	293
Contig_46578	289
Contig_46592	292
Contig_46609	305
Contig_46639	288
Contig_46769	339
Contig_46783	283
Contig_46831	302
Contig_46859	342
Contig_46882	293
Contig_47085	360
Contig_47389	316
Contig_47425	325
Contig_47513	291
Contig_47534	288
Contig_47600	292
Contig_47606	296
Contig_47650	310
Contig_47822	267
Contig_47833	295
Contig_47903	319
Contig_47989	285
Contig_48161	354
Contig_48256	304
Contig_48425	364
Contig_48437	307
Contig_48441	310
Contig_48742	322
Contig_48749	284
Contig_48824	298
Contig_48827	291
Contig_48834	290
Contig_48862	282
Contig_48987	317
Contig_49010	291
Contig_49135	351
Contig_49160	300
Contig_49213	316
Contig_49244	293
Contig_49316	271
Contig_49444	281
Contig_49778	308
Contig_49856	311
Contig_49881	295
Contig_50090	309
Contig_50092	274
Contig_50114	311
Contig_50145	267
Contig_50188	349
Contig_50330	308
Contig_50342	302
Contig_50480	311
Contig_50499	355
Contig_50528	330
Contig_50574	302
Contig_50588	316
Contig_50686	295
Contig_51050	317
Contig_51080	283
Contig_51257	321
Contig_51370	328
Contig_51605	298
Contig_51656	307
Contig_51690	313
Contig_51691	325
Contig_51707	323
Contig_51758	380
Contig_51792	264
Contig_51819	291
Contig_51824	314
Contig_52215	277
Contig_52224	382
Contig_52352	301
Contig_52477	388
Contig_52504	322
Contig_52532	284
Contig_52548	338
Contig_52598	281
Contig_52749	317
Contig_52798	284
Contig_52966	297
Contig_53026	322
Contig_53163	297
Contig_53258	273
Contig_53321	328
Contig_53377	281
Contig_53440	348
Contig_53522	268
Contig_53900	288
Contig_53933	276
Contig_54032	278
Contig_54081	296
Contig_54092	308
Contig_54161	301
Contig_54312	309
Contig_54341	316
Contig_54367	319
Contig_54390	291
Contig_54529	287
Contig_54685	269
Contig_54730	280
Contig_54951	339
Contig_54995	279
Contig_55047	306
Contig_55331	299
Contig_55349	305
Contig_55707	275
Contig_55722	293
Contig_55954	286
Contig_56045	318
Contig_56266	288
Contig_56294	279
Contig_56379	285
Contig_56697	331
Contig_56723	298
Contig_56727	365
Contig_56743	378
Contig_56840	283
Contig_56915	324
Contig_56923	287
Contig_57040	292
Contig_57092	325
Contig_57197	329
Contig_57225	360
Contig_57321	315
Contig_57461	279
Contig_57642	304
Contig_57671	351
Contig_57674	355
Contig_57705	292
Contig_57751	287
Contig_57994	301
Contig_58219	316
Contig_58292	328
Contig_58319	290
Contig_58509	342
Contig_58696	324
Contig_58870	297
Contig_58894	288
Contig_58903	286
Contig_58982	298
Contig_59013	273
Contig_59073	284
Contig_59127	335
Contig_59130	379
Contig_59199	292
Contig_59286	346
Contig_59391	326
Contig_59464	319
Contig_59573	289
Contig_59648	286
Contig_59786	278
Contig_60228	292
Contig_60256	268
Contig_60333	338
Contig_60456	315
Contig_60508	296
Contig_60539	276
Contig_60597	373
Contig_60654	283
Contig_60714	272
Contig_60838	300
Contig_60890	297
Contig_61080	341
Contig_61091	286
Contig_61269	300
Contig_61329	307
Contig_61369	296
Contig_61638	274
Contig_61685	268
Contig_61717	273
Contig_61880	314
Contig_61930	351
Contig_62131	315
Contig_62188	313
Contig_62439	292
Contig_62510	273
Contig_62598	298
Contig_62771	294
Contig_62783	282
Contig_62881	341
Contig_62904	287
Contig_63011	305
Contig_63124	265
Contig_63165	318
Contig_63256	307
Contig_63257	310
Contig_63272	304
Contig_63403	273
Contig_63599	297
Contig_63602	290
Contig_63606	315
Contig_63635	289
Contig_63899	285
Contig_64216	306
Contig_64311	308
Contig_64438	364
Contig_64439	279
Contig_64456	300
Contig_64508	284
Contig_64591	286
Contig_64605	281
Contig_64606	314
Contig_64741	316
Contig_64871	325
Contig_65091	383
Contig_65238	282
Contig_65483	317
Contig_65760	269
Contig_65842	318
Contig_65882	309
Contig_66113	301
Contig_66305	280
Contig_66331	288
Contig_66355	294
Contig_66678	288
Contig_66704	292
Contig_66714	293
Contig_66890	289
Contig_66941	271
Contig_66981	308
Contig_67276	297
Contig_67449	303
Contig_67625	277
Contig_67706	298
Contig_67817	342
Contig_67859	281
Contig_68053	359
Contig_68171	290
Contig_68186	323
Contig_68236	281
Contig_68440	282
Contig_68586	324
Contig_68866	332
Contig_69197	308
Contig_69466	302
Contig_70023	313
Contig_70025	276
Contig_70266	374
Contig_70432	310
Contig_70442	303
Contig_70620	271
Contig_70686	302
Contig_70761	284
Contig_71286	318
Contig_71422	294
Contig_71479	342
Contig_71691	295
Contig_71936	271
Contig_72103	320
Contig_72112	269
Contig_72221	283
Contig_72269	287
Contig_72280	285
Contig_72330	288
Contig_72831	325
Contig_72847	279
Contig_72883	279
Contig_72963	273
Contig_73216	289
Contig_73242	272
Contig_73336	285
Contig_73389	300
Contig_73579	318
Contig_73761	301
Contig_73950	299
Contig_74321	272
Contig_74471	271
Contig_74517	261
Contig_74703	278
Contig_74800	275
Contig_75005	288
Contig_75530	280
Contig_75639	371
Contig_75761	277
Contig_75800	270
Contig_75852	314
Contig_75876	334
Contig_76127	275
Contig_76354	297
Contig_76926	303
Contig_76983	290
Contig_77217	317
Contig_77228	289
Contig_77361	300
Contig_77451	325
Contig_77645	273
Contig_77715	319
Contig_77726	273
Contig_77943	338
Contig_77944	277
Contig_78387	289
Contig_78565	313
Contig_78602	274
Contig_78618	264
Contig_78680	307
Contig_78791	291
Contig_79640	282
Contig_79653	284
Contig_79849	294
Contig_80132	284
Contig_80192	298
Contig_80248	314
Contig_80464	307
Contig_80727	295
Contig_80823	275
Contig_81007	302
Contig_81102	284
Contig_81717	327
Contig_81929	289
Contig_82985	289
Contig_83064	310
Contig_83140	287
Contig_83533	309
Contig_84850	274
Contig_85035	345
Contig_85279	306
Contig_85441	289
Contig_85577	284
Contig_85712	284
Contig_86192	281
Contig_86884	276
Contig_87338	302
Contig_87445	286
Contig_87726	285
Contig_87980	292
Contig_88072	295
Contig_88237	288
Contig_88700	284
Contig_88777	326
Contig_88910	317
Contig_89279	288
Contig_89743	284
Contig_89815	317
Contig_90362	302
Contig_90642	287
Contig_91244	338
Contig_91370	309
Contig_91727	361
Contig_91950	283
Contig_92314	322
Contig_92541	319
Contig_92766	313
Contig_93038	284
Contig_93619	274
Contig_93778	277
Contig_93840	306
Contig_93882	324
Contig_94035	273
Contig_94448	280
Contig_94454	263
Contig_94624	367
Contig_94636	305
Contig_95374	313
Contig_96382	281
Contig_97595	335
Contig_98024	311
Contig_98312	319
Contig_99535	307
Contig_99897	380
Contig_100023	278
Contig_100319	292
Contig_100730	308
Contig_100848	315
Contig_101140	277
Contig_101240	324
Contig_101279	316
Contig_101565	314
Contig_102220	297
Contig_102672	304
Contig_102860	302
Contig_102963	305
Contig_103658	304
Contig_104612	315
Contig_104646	345
Contig_105085	309
Contig_105112	306
Contig_105401	302
Contig_105628	307
Contig_106014	316
Contig_106122	320
Contig_106402	279
Contig_106699	377
Contig_106791	289
Contig_106863	311
