COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE
lcal	Contig_26225	Contig_18915	2	16-22	5811102	6093073	281971	9	47.09	48.64	1.55
lcal	Contig_30988	Soc995	2	16-22	5250306	5265570	15264	9	50.16	50.16	0.00
lcal	Contig_27989	Contig_5999	2	16-22	3547538	3735064	187526	9	55.53	55.53	0.00
lcal	Contig_27183	Soc1151	2	16-22	4533789	4071781	462008	9	55.53	56.15	0.62
lcal	Contig_66941	Contig_21958	2	16-22	573035	659117	86082	9	65.42	65.42	0.00
lcal	Contig_5374	Contig_64606	3	16-22	492434	1222214	729780	9	66.99	67.63	0.64
lcal	Soc711	Contig_24458	2	16-22	24450863	23681977	768886	9	78.60	80.87	2.27
lcal	Contig_77943	Contig_15869	2	2	10801163	10870491	69328	12	27.00	27.00	0.00
lcal	Contig_32386	Contig_5594	2	2	11723017	12688036	965019	12	26.61	26.61	0.00
lcal	Contig_8845	Contig_4308	2	2	12688611	14122538	1433927	12	28.79	28.79	0.00
lcal	Contig_542	Contig_23162	7	2	7760669	6799032	1194479	12	38.29	45.74	7.45
lcal	Contig_35167	Contig_11657	4	2	6437403	6442196	1098909	12	43.69	48.29	4.60
lcal	Contig_88777	Contig_9344	9	2	18277815	22507796	4646833	12	49.71	62.25	12.54
lcal	Soc718	Contig_8327	5	2	23873803	26540447	2666644	12	62.25	69.78	7.53
lcal	Soc1082	Contig_25827	2	2	26368275	26235216	133059	12	74.64	75.91	1.27
lcal	Soc602	Contig_4454	4	2	27409956	28928878	1518922	12	75.91	77.15	1.43
lcal	Contig_8602	Contig_21092	2	2	17278190	17314753	36563	12	91.89	93.16	1.27
lcal	Contig_7484	Contig_28605	2	2	1817007	3283266	1466259	12	98.24	99.34	1.10
lcal	Contig_80248	Contig_19458	2	23	9823337	10438846	615509	15	1.98	3.53	1.55
lcal	Contig_7216	Contig_10826	4	23	17069076	15674264	1781817	15	5.28	10.58	5.30
lcal	Contig_5264	Soc1148	4	23	14317810	14301405	375571	15	19.54	20.40	0.96
lcal	Contig_14976	Contig_1788	4	23	6061575	5334661	726914	15	23.27	29.62	6.35
lcal	Contig_48441	Contig_26324	2	23	9150704	9518178	367474	15	31.30	32.05	0.75
lcal	Contig_15127	Contig_52224	2	23	10762605	11693288	930683	15	33.30	33.30	0.00
lcal	Contig_21639	Contig_7509	3	23	6244411	6556522	415727	15	46.48	49.01	2.53
lcal	Contig_36223	Contig_57321	6	23	7943360	7675611	627769	15	49.01	53.96	4.95
lcal	Soc601	Contig_8081	3	23	6835954	6644817	362945	15	53.65	54.31	0.66
lcal	Contig_13828	Contig_616	2	23	2211422	2174557	36865	15	67.99	69.18	1.19
lcal	Contig_4075	Contig_18114	2	23	2517276	4153719	1636443	15	69.18	70.34	1.16
lcal	Contig_59464	Contig_2149	3	23	2430918	2610969	485484	15	71.01	73.27	2.26
lcal	Contig_79640	Contig_77944	2	23	970494	1154397	183903	15	77.46	77.85	0.39
lcal	Contig_466	Soc598	5	3	23292520	21419615	1872905	14	1.69	8.14	6.45
lcal	Dla16	Contig_14455	6	3	19244637	19843760	599123	14	10.74	10.38	0.71
lcal	Contig_24826	Soc1060	2	3	21011592	20948816	62776	14	17.49	17.49	0.00
lcal	Contig_9040	Contig_16402	2	3	2670172	3328984	658812	14	38.68	41.77	3.09
lcal	Contig_12599	Soc645	16	3	6077703	11453981	5376278	14	44.44	66.86	22.42
lcal	Contig_34907	Contig_27026	2	3	13967908	14740647	772739	14	72.74	73.56	0.82
lcal	Contig_24879	Contig_5976	2	3	12716218	12554121	162097	14	73.56	76.77	3.21
lcal	Soc1133	Contig_7391	4	3	16230487	17029998	799511	14	78.91	86.37	7.46
lcal	Contig_50092	Soc622	4	20	20001044	21672450	1671406	20	0.62	3.44	2.82
lcal	Contig_38207	Contig_94448	2	20	18200600	18737950	537350	20	7.15	11.10	3.95
lcal	Soc979	Contig_62771	3	20	14381563	14393834	217286	20	12.51	12.50	0.01
lcal	Contig_41910	Contig_62439	3	20	18748441	19033722	369016	20	13.76	13.13	0.63
lcal	Contig_43170	Contig_16876	3	20	16446286	16154743	291543	20	24.15	25.89	1.74
lcal	Contig_19553	Contig_14434	3	20	17539340	16322167	1217173	20	25.89	29.75	3.86
lcal	Contig_10006	Contig_26653	2	20	2534014	3433358	899344	20	30.74	33.39	2.65
lcal	Contig_33583	Contig_53321	2	20	11269101	11256154	12947	20	49.79	50.18	0.39
lcal	Contig_32385	Contig_19050	2	20	7944139	8442597	498458	20	61.06	61.06	0.00
lcal	Contig_8952	Contig_58696	3	20	6420765	7469287	1048522	20	69.63	69.63	0.00
lcal	Soc1103	Contig_45093	4	20	6403782	5621973	968610	20	72.52	73.78	1.26
lcal	Contig_9483	Contig_22492	2	8	21534239	22514604	980365	8	4.15	4.15	0.00
lcal	Soc638	Contig_15119	2	8	1213304	919980	293324	8	5.40	8.55	3.15
lcal	Contig_2626	Contig_18491	6	8	16243616	15048218	1195398	8	21.42	32.65	11.23
lcal	Soc762	Contig_2560	3	8	10903414	12310369	1406955	8	36.64	36.64	0.00
lcal	Contig_11932	Contig_25402	2	8	9248510	10539857	1291347	8	41.92	41.92	0.00
lcal	Dla02	Contig_75530	7	8	9215464	6825026	2961747	8	44.06	55.38	11.32
lcal	Contig_11615	Contig_8511	2	8	5758444	5235841	522603	8	57.58	58.00	0.42
lcal	Soc639	Contig_39212	2	8	6070212	5930310	139902	8	59.25	60.89	1.64
lcal	Contig_44490	Contig_31227	2	8	4153025	4407807	254782	8	67.09	69.43	2.34
lcal	Contig_48742	Soc552	4	8	3291408	2623258	1050557	8	69.43	73.25	3.82
lcal	Contig_44525	Contig_25514	2	8	23689653	23425035	264618	8	73.87	75.86	1.99
lcal	Soc1050	Contig_4766	3	8	19063303	19007205	133195	8	81.31	82.86	1.55
lcal	Contig_61080	Contig_39568	2	8	25484523	25249004	235519	8	85.61	87.04	1.43
lcal	Soc576	Contig_35183	4	8	24439815	24106561	514599	8	87.75	89.00	1.25
lcal	Contig_22073	Soc551	2	11	19396731	18650191	746540	4	6.64	8.07	1.43
lcal	Contig_15353	Contig_1130	4	11	22489189	21974715	738835	4	11.56	18.36	6.80
lcal	Contig_7066	Contig_62510	5	11	3659344	5739720	2080376	4	22.22	28.86	6.64
lcal	Contig_52352	Contig_24591	2	11	8841596	9016344	174748	4	32.27	32.27	0.00
lcal	Contig_21471	Contig_63165	2	11	9190560	9745525	554965	4	33.54	36.70	3.16
lcal	Soc663	Soc1040	4	11	11202643	10621036	718461	4	38.81	43.15	4.34
lcal	Contig_38556	Soc891	2	11	14103994	13298876	805118	4	54.96	57.58	2.62
lcal	Contig_15666	Contig_64871	5	11	15296721	17158746	1862025	4	63.35	74.39	11.04
lcal	Contig_772	Contig_72103	5	11	1675443	2006707	338088	4	87.32	87.95	0.63
lcal	Contig_10686	Contig_49135	3	11	3209193	2406691	1096409	4	87.95	90.68	2.73
lcal	Soc1143	Soc541	3	10	22711331	24752986	2041655	24	2.90	8.69	5.79
lcal	Contig_1926	Contig_37743	2	10	25909956	25043672	866284	24	9.78	11.79	2.01
lcal	Mmi04	Soc1058	2	10	21679114	22303586	624472	24	15.81	19.04	3.23
lcal	Contig_15392	Contig_3960	2	10	6413751	7123267	709516	24	23.02	24.95	1.93
lcal	Contig_5090	Contig_14121	6	10	8064578	9991686	1957021	24	24.95	29.72	4.77
lcal	Contig_49010	Contig_16010	2	10	12213592	12265714	52122	24	34.96	34.96	0.00
lcal	Contig_38885	Contig_41579	2	10	12758926	13130234	371308	24	43.61	46.83	3.22
lcal	Dla85	Soc1092	3	10	14162047	14686045	523998	24	46.83	48.76	1.93
lcal	Contig_41456	Contig_40525	4	10	16295820	18605633	2309813	24	63.00	67.19	4.22
lcal	Contig_31777	Contig_106863	4	10	1195749	1626840	498179	24	73.65	76.50	2.85
lcal	Contig_40800	Soc719	3	10	4916037	4858498	390485	24	77.23	79.38	2.15
lcal	Contig_23868	Contig_8734	2	12	15485953	15496132	10179	10	7.77	9.33	1.56
lcal	Contig_38648	Contig_7034	4	12	15331473	15808221	476748	10	11.59	16.04	4.64
lcal	Contig_20317	Contig_11649	2	12	16558821	16232517	326304	10	16.95	18.00	1.05
lcal	Contig_6243	Contig_25685	3	12	17645922	18461725	815803	10	20.92	24.20	3.28
lcal	Contig_27201	Contig_4294	2	12	18895986	19085858	189872	10	25.65	27.52	1.87
lcal	Contig_24202	Contig_34242	4	12	7223425	8434545	1211120	10	32.64	34.63	2.36
lcal	Soc686	Dla105	2	12	27187075	27689682	502607	10	37.60	37.60	0.00
lcal	Contig_26559	Contig_29474	2	12	24994893	26169593	1174700	10	42.43	41.82	0.61
lcal	Contig_75800	Contig_5437	4	12	24438804	21959604	2479200	10	46.70	56.22	9.52
lcal	Contig_3477	Contig_31364	2	12	3945023	4602564	657541	10	69.18	73.90	4.72
lcal	Contig_47989	Mmi10	4	12	3058749	3089282	2379485	10	75.40	85.42	10.02
lcal	Contig_15294	Contig_24248	2	13	20774789	21806773	1031984	19	1.25	8.26	7.01
lcal	Contig_14569	Contig_11445	2	13	19993835	20285728	291893	19	7.95	9.07	1.12
lcal	Soc659	Contig_24694	3	13	19140530	19013227	333353	19	9.07	13.48	4.41
lcal	Contig_29539	Contig_9368	7	13	23653171	25690877	2523859	19	14.75	20.39	5.64
lcal	Dla71	Contig_41232	3	13	6068694	6205907	137213	19	27.26	29.17	1.91
lcal	Soc1025	Soc1051	2	13	4160519	4053683	106836	19	32.01	32.32	0.31
lcal	Contig_18995	Contig_10741	2	13	7041066	7201011	159945	19	39.55	43.57	4.02
lcal	Soc439	Soc684	2	13	8222582	7846626	375956	19	53.11	54.18	1.07
lcal	Soc569	Soc1006	5	13	8776649	12640883	4033664	19	61.71	72.50	10.79
lcal	Contig_57705	Contig_89815	2	13	13214316	13639578	425262	19	72.50	72.50	0.00
lcal	Contig_100848	Soc965	4	13	13743961	14016891	279270	19	74.62	74.62	0.00
lcal	Contig_27134	Contig_91727	2	13	15011351	14710804	300547	19	77.30	78.51	1.21
lcal	Contig_33889	Soc1066	2	13	14471950	13910474	561476	19	79.91	80.62	0.71
lcal	Soc532	Soc887	2	13	16293697	16506269	212572	19	82.04	81.34	0.70
lcal	Soc929	Contig_367	2	13	16033878	14965251	1068627	19	82.67	85.23	2.56
lcal	Contig_13270	Contig_224	2	13	16696253	17321318	625065	19	85.23	88.42	3.19
lcal	Contig_4337	Soc949	3	21	13774376	13918678	188820	5	8.93	10.33	1.40
lcal	Soc418	Contig_80823	5	21	13013854	9849376	3164478	5	10.96	18.15	7.19
lcal	Contig_51758	Contig_14220	8	21	8985670	4131138	4854532	5	20.94	42.60	21.66
lcal	Contig_33314	Contig_2723	4	21	23273019	22679479	599448	5	51.08	54.77	3.69
lcal	Contig_15433	Contig_4040	2	21	20755874	21175565	419691	5	58.45	61.29	2.84
lcal	Contig_6596	Contig_44858	2	21	24868439	25247788	379349	5	61.91	63.84	1.93
lcal	Contig_47650	Contig_42933	2	21	22174868	21457838	717030	5	73.98	74.60	0.62
trub	Contig_9451	Contig_1597	8	1	23142096	16737641	6404455	11	25.67	43.32	17.65
trub	Contig_1918	Contig_26746	2	1	15087572	15431877	344305	11	47.37	51.25	3.88
trub	Soc693	Contig_68171	2	1	12487237	14069862	1582625	11	70.95	73.50	2.55
trub	Soc1075	Contig_75639	10	3	3307102	10050260	6743158	21	12.45	58.88	46.43
trub	Contig_41732	Contig_31700	3	3	13053117	12725348	391382	21	69.79	99.73	29.94
trub	Dla44	Dla43	2	10	1246444	506026	740418	7	6.48	7.22	0.74
trub	Contig_59073	Contig_874	3	10	4170900	4392093	221193	7	28.55	28.56	0.01
trub	Contig_12913	Contig_18930	3	10	5435314	5425523	124322	7	44.04	48.91	4.87
trub	Soc1099	Dla53	7	10	6355479	8794315	2438836	7	54.86	80.77	25.91
trub	Contig_38410	Contig_9499	2	8	2339035	2509052	170017	2	39.94	39.94	0.00
trub	Contig_54081	Contig_70432	2	8	7105269	6841722	263547	2	77.93	79.88	1.95
trub	Contig_38333	Contig_36718	2	16	3544693	3321988	222705	17	19.00	23.95	4.95
trub	Soc1027	Contig_57461	6	16	5136775	6545610	1408835	17	37.51	57.91	20.40
trub	Contig_29858	Contig_24314	4	16	8860881	8258957	601924	17	62.47	67.14	4.67
trub	Contig_39896	Contig_3199	2	16	1501046	1314913	186133	17	81.95	83.22	1.27
trub	Soc616	Contig_3575	3	6	7405720	8419166	1013446	22	34.77	41.16	6.39
trub	Contig_1924	Contig_16159	2	6	6096821	6888274	791453	22	56.10	77.24	21.14
trub	Contig_44164	Soc781	2	6	4669867	5854125	1184258	22	76.17	81.37	5.20
trub	Contig_72280	Soc1063	2	17	8257038	9119248	862210	1	24.78	24.45	0.33
trub	Contig_8259	Contig_35255	6	17	8276286	6104755	2305853	1	28.60	37.22	8.62
trub	Dla97	Contig_29953	4	17	1930161	3280513	1462207	1	58.02	77.94	19.92
trub	Contig_14829	Contig_48749	3	20	2359130	2743113	383983	18	2.74	4.52	1.78
trub	Soc567	Contig_3776	2	20	12649598	13366204	716606	18	7.31	7.31	0.00
trub	Contig_2075	Contig_35477	3	20	3536472	3130260	406212	18	8.57	11.88	3.31
trub	Contig_52548	Contig_9756	3	20	2137650	2338778	277423	18	16.28	19.46	3.18
trub	Contig_46859	Contig_326	9	20	4272327	10165583	5893256	18	35.58	64.54	28.96
trub	Soc1127	Soc821	2	20	778089	850257	72168	18	82.57	82.57	0.00
trub	Mmi06	Contig_56840	2	22	11443779	11460800	17021	13	10.78	12.05	1.27
trub	Contig_48834	Contig_63899	2	22	1765135	1029006	736129	13	15.73	31.75	16.02
trub	Contig_44101	Contig_8622	2	22	386420	732956	346536	13	32.63	32.63	0.00
trub	Contig_10041	Contig_53258	7	22	7411746	8899283	1730797	13	51.86	67.14	15.28
trub	Contig_64456	Contig_150	2	22	5456322	6467187	1010865	13	80.27	79.65	0.62
trub	Contig_28122	Dla84	3	2	8682705	8855385	186564	16	12.57	32.67	20.10
trub	Contig_18654	Contig_63124	2	2	8469163	8348942	120221	16	40.42	50.92	10.50
trub	Contig_1759	Dla60	4	2	5558309	6888312	1330003	16	54.46	55.87	1.41
trub	Contig_19539	Contig_21305	6	2	4316298	2657471	1904977	16	62.47	85.30	22.83
trub	Contig_66355	Contig_52749	3	2	348799	406337	112610	16	83.30	93.07	9.77
trub	Contig_11233	Contig_15319	5	18	7817838	4744364	3073474	23	3.44	45.32	41.88
trub	Contig_23290	Contig_25345	2	18	3960106	4155434	195328	23	46.75	51.58	4.83
trub	Contig_24687	Contig_28455	4	18	3529006	1581163	1947843	23	52.84	71.41	18.57
trub	Contig_36533	Soc583	2	7	4507708	4753925	246217	6	0.62	2.34	1.72
trub	Contig_11650	Contig_90362	2	7	5714403	5634631	79772	6	8.54	16.68	8.14
trub	Contig_6637	Contig_1062	2	7	8753236	9138713	385477	6	20.47	22.05	1.58
trub	Contig_93038	Contig_27414	8	7	10642021	14076988	3434967	6	24.56	50.21	25.65
trub	Contig_19224	Soc704	2	7	44320	788427	744107	6	56.53	56.53	0.00
trub	Dla41	Contig_14304	2	7	2053131	1475827	577304	6	68.91	78.56	9.65
trub	Contig_22201	Contig_36884	2	8	11008498	12270269	1261771	3	17.38	42.02	24.64
trub	Contig_1744	Contig_20030	4	8	13219465	12748364	471101	3	44.77	47.35	2.58
trub	Contig_3783	Contig_7080	4	8	10802375	9177486	1624889	3	70.42	92.21	21.79
trub	Contig_23536	Contig_3632	2	4	5533636	5774784	241148	9	12.41	15.02	2.61
trub	Dla69	Dla91	3	4	4997980	4428352	569628	9	18.81	23.02	4.21
trub	Soc562	Lcr03	3	4	9888605	9830742	374474	9	37.64	38.63	0.99
trub	Contig_31412	Contig_93840	7	4	10572538	13676946	3104408	9	42.32	65.42	23.10
trub	Contig_21958	Contig_64606	2	4	591887	194144	397743	9	65.42	67.63	2.21
trub	Contig_33841	Contig_23162	6	13	7655381	11571050	4147706	12	26.61	45.74	19.51
trub	Soc429	Soc718	4	13	5828316	6943773	1115457	12	59.02	62.25	3.23
trub	Soc1041	Contig_8327	2	13	4462194	3405747	1056447	12	68.13	69.78	1.65
trub	Contig_18991	Contig_102220	2	13	4658181	4770050	111869	12	69.78	69.78	0.00
trub	Soc1082	Contig_25827	2	13	3285910	3167253	118657	12	74.64	75.91	1.27
trub	Contig_7484	Contig_28605	2	13	14824708	13916554	908154	12	98.24	99.34	1.10
trub	Contig_10826	Dla79	4	1	1405362	566202	839160	15	10.58	21.07	10.49
trub	Contig_15127	Contig_4024	2	1	4497003	4560793	63790	15	33.30	33.30	0.00
trub	Contig_7509	Contig_26472	6	1	7292028	5381606	2906050	15	49.01	71.37	22.36
trub	Contig_466	Soc1108	4	12	7100847	3446924	3943329	14	1.69	48.24	46.55
trub	Contig_2682	Soc850	3	12	2917497	3157457	239960	14	49.65	49.65	0.00
trub	Contig_42240	Soc645	3	12	879488	2504617	1625129	14	54.01	66.86	12.85
trub	Soc1133	Soc1134	2	12	8520512	8520512	0	14	78.91	81.60	2.69
trub	Contig_17896	Contig_13501	2	15	11287358	11382648	95290	20	0.31	4.14	3.83
trub	Contig_38207	Contig_393	2	15	5257159	5291564	34405	20	7.15	12.50	5.35
trub	Contig_30294	Contig_62771	2	15	10692842	10759907	67065	20	12.51	12.50	0.01
trub	Contig_5107	Soc1071	2	15	6351592	6098351	253241	20	24.15	28.49	4.34
trub	Soc630	Contig_26653	2	15	4059816	4450673	390857	20	32.17	33.39	1.22
trub	Contig_8178	Contig_64508	2	15	2274076	3758328	1484252	20	44.26	45.53	1.27
trub	Contig_33583	Contig_5080	2	15	8808476	7420257	1388219	20	49.79	55.36	5.57
trub	Contig_32385	Contig_23708	2	15	160922	774929	614007	20	61.06	73.78	12.72
trub	Contig_51370	Contig_22492	2	14	9446712	12014607	2567895	8	4.15	4.15	0.00
trub	Contig_54341	Soc620	6	14	1585653	7560839	5975186	8	26.47	54.98	28.51
trub	Contig_11615	Contig_39212	3	14	8023169	7866959	299000	8	57.58	60.89	3.31
trub	Contig_22073	Contig_15353	2	5	2828518	2911759	83241	4	6.64	11.56	4.92
trub	Contig_63599	Contig_3343	3	5	613895	2202054	1588159	4	13.48	20.96	7.48
trub	Contig_38144	Contig_105085	3	5	10545689	10371067	327585	4	26.32	27.11	0.79
trub	Soc804	Contig_15666	5	5	8751009	4841828	3909181	4	33.76	63.35	29.59
trub	Contig_10013	Contig_33822	3	9	11096956	12148935	1051979	24	2.28	29.10	26.82
trub	Contig_9872	Contig_16836	2	9	8877698	8756927	120771	24	37.37	41.28	3.91
trub	Soc1092	Contig_2752	2	9	2014606	2614149	599543	24	48.76	51.33	2.57
trub	Contig_58292	Contig_22317	2	9	7022527	7656483	633956	24	64.26	67.22	2.96
trub	Contig_8734	Soc1065	2	19	10291730	10178150	113580	10	9.33	14.77	5.44
trub	Contig_25685	Contig_4294	3	19	11238708	11638103	399395	10	24.20	27.52	3.32
trub	Contig_45139	Contig_29474	2	19	7645079	8781124	1136045	10	41.04	41.82	0.78
trub	Contig_75800	Contig_12856	3	19	6154227	5211338	942889	10	46.70	51.89	5.19
trub	Contig_3477	Soc1087	2	19	1375849	3944831	2568982	10	69.18	71.41	2.23
trub	Soc919	Contig_24694	2	21	4800178	4936084	135906	19	12.86	13.48	0.62
trub	Contig_29539	Contig_9029	3	21	11899573	12284476	384903	19	14.75	15.58	0.83
trub	Dla71	Contig_40155	7	21	6669320	9148968	2479648	19	27.26	65.63	38.37
trub	Contig_100319	Contig_9869	3	21	12946090	14782089	1835999	19	69.09	74.62	5.53
trub	Soc887	Soc929	2	21	1111941	676513	435428	19	81.34	82.67	1.33
trub	Soc1017	Contig_83533	2	11	7751476	6562176	1189300	5	7.84	8.60	0.76
tnig	Contig_9451	Contig_1597	6	2	21326759	15128045	6198714	11	25.67	43.32	17.65
tnig	Contig_1918	Contig_26746	2	2	13489422	13811220	321798	11	47.37	51.25	3.88
tnig	Soc693	Contig_68171	2	2	11000809	12544261	1543452	11	70.95	73.50	2.55
tnig	Contig_27565	Soc687	8	9	999276	6520186	5770273	21	17.02	57.29	40.27
tnig	Contig_34845	Contig_31700	2	9	8098693	9747258	1648565	21	61.32	99.73	38.41
tnig	Soc826	Contig_59073	3	6	1277007	3361449	2084442	7	15.15	28.55	13.40
tnig	Contig_12913	Contig_30032	2	6	4663499	4545566	117933	7	44.04	48.91	4.87
tnig	Soc1099	Contig_6874	6	6	5582211	6998456	1416245	7	54.86	70.13	15.27
tnig	Contig_9499	Contig_38410	2	3	5442843	5597825	154982	2	39.94	39.94	0.00
tnig	Contig_4281	Contig_54081	3	3	999473	1105772	849000	2	61.91	77.93	16.02
tnig	Contig_38333	Contig_36718	2	14	7735351	7951859	216508	17	19.00	23.95	4.95
tnig	Soc770	Contig_17415	5	14	6171815	5089930	1081885	17	35.99	51.81	15.82
tnig	Dla89	Contig_24314	4	14	2048789	4789588	2740799	17	61.16	67.14	5.98
tnig	Soc921	Contig_34655	2	14	1848805	1897527	48722	17	72.80	79.45	6.65
tnig	Contig_6646	Contig_35102	2	4	8437099	8112961	324138	22	7.26	27.66	20.40
tnig	Contig_23642	Contig_3575	4	4	2593658	1716226	1005892	22	34.77	41.16	6.39
tnig	Contig_8793	Contig_897	2	4	4990115	4778400	211715	22	61.68	66.52	4.84
tnig	Contig_12764	Soc991	2	18	4714770	4109817	604953	1	0	13.04	13.04
tnig	Soc1063	Contig_35255	8	18	6688591	9503361	2923645	1	24.45	37.22	12.77
tnig	Contig_29953	Contig_30461	2	18	1282913	979181	303732	1	77.94	78.58	0.64
tnig	Contig_14829	Contig_48749	3	1	11401684	11783077	381393	18	2.74	4.52	1.78
tnig	Soc567	Contig_34833	2	1	21893674	22806358	912684	18	7.31	7.31	0.00
tnig	Contig_2075	Contig_35477	3	1	12557809	12154600	403209	18	8.57	11.88	3.31
tnig	Contig_52548	Contig_9756	3	1	11189799	11383141	266402	18	16.28	19.46	3.18
tnig	Contig_7879	Soc424	9	1	14555761	21551179	6995418	18	42.97	76.25	33.28
tnig	Contig_94624	Contig_16461	2	15	900529	915470	14941	13	2.87	9.53	6.66
tnig	Contig_19379	Contig_56840	3	15	1068806	1050133	18673	13	10.15	12.05	1.90
tnig	Soc1157	Soc1109	3	15	6270808	4428414	1842394	13	46.06	57.87	11.81
tnig	Contig_25425	Contig_3747	2	15	3914888	4285570	370682	13	63.09	63.71	0.62
tnig	Contig_73389	Soc1155	2	15	1932844	1817110	115734	13	78.82	79.65	0.83
tnig	Contig_28122	Contig_63124	4	10	4113818	4395634	439185	16	12.57	50.92	38.35
tnig	Dla60	Contig_106014	4	10	5877720	6430273	552808	16	55.87	59.06	3.19
tnig	Contig_20391	Contig_3074	4	10	8053396	10937374	2883978	16	70.29	82.03	11.74
tnig	Contig_66355	Contig_21305	2	10	11112863	11005867	106996	16	83.30	85.30	2.00
tnig	Contig_11233	Contig_8665	2	19	6625515	6909144	283629	23	3.44	10.46	7.02
tnig	Soc527	Contig_32828	2	19	6090335	6311885	221550	23	17.45	18.88	1.43
tnig	Contig_40908	Contig_15319	3	19	3825454	2921598	961473	23	43.27	45.32	2.05
tnig	Contig_23290	Contig_28455	5	19	2180723	639132	1592417	23	46.75	71.41	24.66
tnig	Contig_5599	Contig_33248	2	8	2878763	3602312	723549	6	11.97	17.00	5.03
tnig	Contig_6637	Contig_1062	2	8	4362576	4768999	406423	6	20.47	22.05	1.58
tnig	Contig_93038	Contig_16536	4	8	6150442	7528705	1378263	6	24.56	32.61	8.05
tnig	Contig_12169	Soc568	2	8	8945241	8552274	392967	6	35.82	40.62	4.80
tnig	Contig_28213	Contig_27414	2	8	9384432	9706103	321671	6	48.55	50.21	1.66
tnig	Contig_10306	Contig_20030	2	20	726693	906848	180155	3	46.10	47.35	1.25
tnig	Contig_2506	Contig_11906	2	17	8694791	9228949	534158	9	16.94	16.94	0.00
tnig	Dla69	Dla91	3	17	10770905	11283446	512541	9	18.81	23.02	4.21
tnig	Contig_70442	Contig_2674	2	17	7640379	7173157	467222	9	30.82	31.31	0.49
tnig	Soc562	Contig_17543	2	17	6132028	6526053	394025	9	37.64	38.63	0.99
tnig	Contig_31412	Contig_30988	5	17	5504364	3438374	2065990	9	42.32	50.16	7.84
tnig	Contig_27989	Soc1151	2	17	2079792	2518099	438307	9	55.53	56.15	0.62
tnig	Contig_9460	Contig_33841	2	5	10970583	12916554	1945971	12	26.23	26.61	0.38
tnig	Soc1048	Contig_11657	4	5	9829142	9481803	351437	12	39.15	48.29	9.14
tnig	Soc429	Contig_4454	11	5	1126844	5177361	4050517	12	59.02	77.15	18.13
tnig	Contig_7484	Contig_28605	2	5	6529358	7421738	892380	12	98.24	99.34	1.10
tnig	Contig_61930	Dla79	3	2	1510984	983987	526997	15	9.52	21.07	11.55
tnig	Contig_14976	Contig_20195	2	2	277923	396974	119051	15	23.27	28.26	4.99
tnig	Contig_7509	Contig_77944	8	2	6529260	3913638	3760360	15	49.01	77.85	28.84
tnig	Soc849	Soc1108	2	21	3151978	3401175	249197	14	48.24	48.24	0.00
tnig	Contig_14799	Soc850	2	21	2959630	3151917	192287	14	49.65	49.65	0.00
tnig	Contig_42240	Soc645	3	21	790285	1902255	1111970	14	54.01	66.86	12.85
tnig	Contig_34611	Contig_17896	2	7	3112973	3743409	630436	20	0.31	0.31	0.00
tnig	Contig_19215	Contig_30294	3	7	4570276	4522089	111459	20	7.15	12.51	5.36
tnig	Contig_43170	Soc1071	3	7	8777088	8975745	250949	20	24.15	28.49	4.34
tnig	Contig_8178	Soc559	2	7	10318204	10580208	262004	20	44.26	43.63	0.63
tnig	Contig_33583	Contig_5080	2	7	6437820	7737967	1300147	20	49.79	55.36	5.57
tnig	Contig_8141	Contig_23708	2	7	584082	1329839	745757	20	69.63	73.78	4.15
tnig	Contig_2626	Contig_17726	3	1	9296194	8634226	661968	8	21.42	28.14	6.72
tnig	Contig_9476	Soc620	4	1	100805	3535945	3435140	8	36.64	54.98	18.34
tnig	Contig_11615	Contig_39212	3	1	3959931	3803029	262420	8	57.58	60.89	3.31
tnig	Contig_38144	Contig_105085	3	3	13667643	13532440	273552	4	26.32	27.11	0.79
tnig	Contig_21471	Soc804	2	3	10906714	11978484	1071770	4	33.54	33.76	0.22
tnig	Contig_32285	Soc891	3	3	10085239	8653233	1432006	4	41.78	57.58	15.80
tnig	Contig_6514	Contig_36113	3	3	14854377	14616063	295639	4	87.95	90.68	2.73
tnig	Contig_5090	Contig_33822	3	13	9863813	10857409	993596	24	24.95	29.10	4.15
tnig	Contig_9872	Contig_16836	2	13	7838278	7726400	111878	24	37.37	41.28	3.91
tnig	Contig_2752	Contig_22317	3	13	4764436	6683389	1918953	24	51.33	67.22	15.89
tnig	Contig_1141	Contig_3881	2	13	13290708	13168992	121716	24	73.65	75.06	1.41
tnig	Contig_4294	Contig_36711	2	11	9198272	8336037	862235	10	27.52	35.00	7.48
tnig	Contig_45139	Contig_29474	2	11	3871191	3415431	455760	10	41.04	41.82	0.78
tnig	Contig_75800	Soc1087	4	11	5820566	7793364	1972798	10	46.70	71.41	24.71
tnig	Contig_24694	Contig_104612	2	12	11182331	10642624	539707	19	13.48	14.75	1.27
tnig	Contig_29539	Contig_9029	2	12	4005940	3678890	327050	19	14.75	15.58	0.83
tnig	Contig_75005	Contig_41232	3	12	8856173	8855715	94637	19	27.26	29.17	1.91
tnig	Contig_18995	Contig_40155	2	12	8400213	6744283	1655930	19	39.55	65.63	26.08
tnig	Contig_100319	Soc965	4	12	3046044	932831	2113213	19	69.09	74.62	5.53
