locus,map_chr,map_prop,map_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,onil_chr,onil_prop,onil_pos,dlab_chr,dlab_prop,dlab_pos,
Contig_35255,1,0.396,37.22,9,0.230,4652385,5,0.205,5935275,17,0.546,6104755,18,0.858,9503361,6,0.296,10856100,7,0.889,25313874,
Contig_542,12,0.373,38.29,2,0.795,18522522,2,0.255,7760669,,,,,,,1,0.116,3618117,5,0.662,21591470,
Soc627,23,0.981,72.67,,,,,,,,,,,,,,,,,,,
Contig_40875,20,0.627,56.14,,,,,,,,,,,,,,,,,,,
Contig_66678,13,0.969,79.83,3,0.179,3013351,4,0.779,19905260,,,,,,,18,0.168,4399465,10,0.214,5149970,
Contig_24879,14,0.852,73.56,10,0.341,5332124,3,0.541,12716218,,,,,,,22,0.421,11106487,9,0.669,14959581,
Contig_38247,12,0.901,92.54,,,,,,,,,,,,,,,,5,0.018,581915,
Contig_18508,2,0.855,71.91,,,,7_2,0.103,1429584,,,,,,,,,,24,0.040,558718,
Contig_59573,8,0.335,30.87,,,,,,,,,,,,,,,,2,0.228,5974017,
Soc596,12,0.575,59.02,2,0.730,17005158,2,0.735,22332810,,,,,,,1,0.672,20975667,5,0.193,6286628,
Contig_10354,7,0.467,37.68,,,,,,,,,,,,,,,,,,,
Contig_33314,5,0.631,51.08,,,,21,0.812,23273019,,,,,,,14,0.111,3805612,13,0.243,6700715,
Contig_44288,4,0.120,11.25,,,,,,,,,,,,,,,,,,,
Soc602,12,0.739,75.91,2,0.555,12939101,2,0.902,27409956,,,,,,,1,0.481,15011159,5,0.354,11540052,
Contig_16938,14,0.814,70.29,,,,3,0.661,15529003,,,,,,,,,,9,0.800,17887382,
Contig_367,19,0.918,85.23,13,0.626,12575553,13,0.549,14965251,21,0.011,168796,,,,12,0.307,10637840,20,0.117,3320824,
Contig_64438,13,0.937,77.14,,,,,,,,,,,,,6,0.758,27819759,,,,
Soc624,7,0.223,18.00,,,,24,0.446,8845863,,,,,,,,,,,,,
Soc1075,21,0.125,12.45,,,,6,0.004,109636,3,0.253,3307102,,,,,,,22-25,0.697,18417588,
Contig_94636,7,0.638,51.57,,,,,,,,,,,,,,,,,,,
Contig_46592,3,0.843,77.70,7,0.300,8383566,14,0.374,5260727,,,,,,,3,0.247,4774501,3,0.393,5279980,
Contig_10209,21,0.554,55.27,,,,6,0.655,18281271,3,0.759,9938219,9,0.641,6769549,20,0.401,12623401,22-25,0.304,8042808,
Soc796,4,0.954,89.53,11,0.949,15859810,11,0.005,117189,,,,,,,4,0.970,27818999,,,,
Soc1099,7,0.679,54.86,21,0.837,9802780,24,0.740,14659928,10,0.696,6355479,6,0.795,5582211,9,0.694,14553793,18-21,0.701,11538301,
Contig_38120,12,0.583,59.80,2,0.715,16667859,2,0.747,22719241,13,0.360,6106078,5,0.102,1366396,1,0.660,20578580,5,0.205,6680466,
Contig_12152,6,0.094,8.54,20,0.306,6029098,15,0.858,26409527,7,0.582,8329444,,,,11,0.369,12346427,16,0.629,16243155,
Contig_10008,6,0.828,75.59,,,,,,,,,,,,,,,,,,,
Contig_59464,15,0.843,71.01,,,,23,0.134,2430918,,,,,,,,,,1B,0.085,1530118,
Soc1092,24,0.582,48.76,19,0.798,16157223,10,0.526,14686045,9,0.145,2014606,,,,7,0.820,41846172,6,0.314,8859251,
Contig_57092,14,0.390,33.69,10,0.842,13182448,3,0.178,4179185,,,,,,,22,0.690,18216290,9,0.280,6253395,
Contig_55349,17,0.240,20.45,,,,,,,,,,,,,,,,17,0.321,7339668,
Contig_50480,15,0.654,55.09,,,,,,,,,,,,,,,,,,,
Dla71,19,0.293,27.26,13,0.270,5415518,13,0.223,6068694,21,0.448,6669320,12,0.709,8950352,12,0.612,21207421,20,0.438,12439566,
Contig_37968,13,0.146,12.05,,,,,,,,,,,,,,,,,,,
Contig_59286,17,0.120,10.22,,,,7_1,0.796,18522249,,,,,,,,,,17,0.188,4306173,
Soc729,20,0.480,43.01,,,,,,,,,,,,,,,,,,,
Contig_873,7,0.699,56.46,21,0.849,9948870,,,,,,,,,,,,,,,,
Contig_40817,23,0.656,48.55,,,,,,,,,,,,,,,,,,,
Contig_33850,2,0.421,35.40,,,,,,,,,,,,,,,,,,,
Contig_23483,3,0.906,83.54,,,,,,,,,,,,,,,,,,,
Contig_25867,10,0.951,85.42,,,,,,,,,,,,,,,,,,,
Soc810,17,0.571,48.64,18,0.612,9961066,7_1,0.494,11489172,16,0.624,6432976,14,0.504,5160407,15,0.609,16246208,17,0.501,11476513,
Contig_73336,19,0.904,83.93,,,,,,,,,,,,,,,,,,,
Contig_21639,15,0.552,46.48,,,,23,0.344,6244411,,,,,,,,,,1B,0.682,12279845,
Contig_3091,20,0.909,81.44,,,,,,,,,,,,,,,,,,,
Soc536,9,0.744,61.84,,,,,,,,,,,,,,,,,,,
Contig_17046,13,0.154,12.67,,,,,,,,,,,,,18,0.833,21811734,,,,
Dla01,19,0.262,24.32,,,,13,0.859,23391231,,,,12,0.325,4099216,12,0.817,28340730,20,0.641,18199782,
Contig_31873,11,1.000,74.96,,,,,,,,,,,,,,,,,,,
Contig_24146,2,0.475,39.94,,,,,,,,,,,,,,,,,,,
Contig_6955,13,0.035,2.87,,,,4,0.186,4745903,,,,,,,18,0.827,21657402,10,0.858,20629819,
Contig_8329,2,0.475,39.94,,,,7_2,0.583,8106851,,,,,,,,,,,,,
Soc622,20,0.038,3.44,7,0.732,20464124,20,0.912,21672450,,,,,,,10,0.737,12600315,14,0.579,16435790,
Contig_16997,23,0.081,5.99,,,,,,,,,,,,,,,,,,,
Contig_5107,20,0.270,24.15,,,,20,0.686,16291173,15,0.551,6351592,7,0.746,8724796,,,,14,0.779,22119880,
Contig_4226,14,0.239,20.64,,,,,,,,,,,,,,,,,,,
Soc574,14,0.945,81.60,,,,,,,,,,,,,,,,,,,
Soc1151,9,0.675,56.15,,,,16-22,0.158,4071781,4,0.982,13570721,17,0.207,2518099,,,,11,0.223,5856167,
Contig_2334,14,0.529,45.73,,,,,,,,,,,,,,,,19,0.948,21986923,
Soc695,1,0.816,76.65,,,,,,,,,,,,,,,,,,,
Contig_35034,5,0.492,39.82,,,,,,,,,,,,,,,,,,,
Contig_15433,5,0.722,58.45,1,0.587,16545459,21,0.724,20755874,11,0.827,9296811,16,0.694,6265024,14,0.828,28321635,13,0.934,25804541,
Contig_73216,20,0.022,2.01,,,,,,,,,,,,,,,,14,0.642,18242262,
Contig_51257,22,0.050,4.09,14,0.678,10338891,9,0.118,2709217,,,,,,,,,,,,,
Contig_26622,16,0.329,33.32,,,,19,0.180,4419734,2,0.105,1199304,,,,19,0.442,12016512,12,0.173,4008399,
Soc616,22,0.427,34.77,,,,9,0.503,11570911,6,0.787,7405720,4,0.276,2722118,7,0.511,26094680,19,0.569,13205023,
Contig_59073,7,0.353,28.55,,,,24,0.574,11364115,10,0.457,4170900,6,0.479,3361449,9,0.493,10324072,18-21,0.488,8033420,
Contig_24582,4,0.000,0,,,,,,,,,,,,,,,,2,0.024,624192,
Contig_20086,10,0.233,20.92,17,0.518,7557710,12,0.650,18093604,,,,,,,5,0.373,13935069,1A,0.411,11931473,
Contig_36529,12,0.263,27.00,,,,,,,,,,,,,,,,,,,
Contig_16402,14,0.484,41.77,,,,3,0.142,3328984,12,0.551,5878527,21,0.989,5772476,22,0.642,16943530,9,0.240,5370079,
Dla91,9,0.277,23.02,6,0.773,13205087,16-22,0.526,13607529,4,0.320,4428352,17,0.930,11283446,13,0.787,25814042,11,0.599,15702047,
Soc642,21,0.896,89.33,,,,6,0.934,26072784,,,,,,,20,0.058,1827029,22-25,0.002,41505,
Contig_47513,7,0.856,69.15,21,0.963,11286574,24,0.848,16796684,10,0.812,7410190,6,0.953,6695862,9,0.855,17918375,18-21,0.839,13808390,
Soc952,3,0.606,55.84,,,,15,0.633,19481465,,,,,,,3,0.425,8218446,3,0.564,7585272,
Contig_96382,16,0.702,70.99,15,0.564,9133702,19,0.633,15520891,2,0.379,4327898,10,0.624,8279688,19,0.188,5099637,12,0.652,15153568,
Soc1104,16,0.124,12.57,,,,19,0.122,2991406,,,,,,,,,,12,0.106,2455391,
Contig_40846,1,0.674,63.30,,,,5,0.763,22113609,17,0.210,2344847,,,,6,0.768,28196477,7,0.367,10438477,
Contig_37148,8,0.801,73.87,,,,,,,,,,,,,,,,,,,
Contig_10202,6,0.183,16.68,,,,,,,,,,,,,,,,16,0.679,17539893,
Contig_18481,23,0.375,27.76,4,0.596,19433396,18,0.127,2446318,,,,,,,17,0.790,25080600,x,0.469,8346673,
Contig_4927,15,0.031,2.62,,,,,,,,,,,,,,,,,,,
Dla94,10,0.473,42.43,,,,,,,,,,,,,,,,,,,
Contig_44164,22,0.936,76.17,14,0.110,1673475,9,0.752,17293634,6,0.496,4669867,4,0.613,6049215,7,0.251,12815123,19,0.318,7371145,
Contig_13615,22,0.124,10.12,,,,,,,,,,,,,,,,,,,
Contig_7330,19,0.361,33.57,,,,,,,,,,,,,,,,,,,
Contig_24694,19,0.145,13.48,13,0.789,15848729,13,0.698,19013227,21,0.331,4936084,12,0.886,11182331,12,0.162,5631598,20,0.809,22971263,
Contig_1112,9,0.973,80.87,,,,,,,,,,,,,,,,,,,
Contig_4432,1,0.224,21.04,9,0.480,9725160,5,0.493,14281094,,,,,,,6,0.444,16320355,7,0.641,18269293,
Contig_40488,14,0.124,10.74,,,,,,,,,,,,,,,,,,,
Contig_68866,7,0.765,61.82,,,,,,,,,,,,,,,,,,,
Contig_62131,11,0.359,26.93,16,0.192,3485102,1,0.891,22910118,,,,,,,,,,15,0.747,19103926,
Contig_34907,14,0.842,72.74,10,0.403,6313994,3,0.594,13967908,,,,,,,22,0.364,9601187,9,0.727,16255454,
Soc609,16,0.902,91.19,,,,19,0.889,21805787,,,,,,,19,0.790,21454641,12,0.928,21571940,
Contig_24800,4,0.223,20.96,11,0.179,2982908,11,0.801,18650429,8,0.012,177149,,,,4,0.341,9772922,8,0.185,4272388,
Contig_11615,8,0.624,57.58,4,0.470,15345197,8,0.222,5758444,14,0.651,8023169,1,0.172,3959931,2,0.990,24796754,2,0.540,14145872,
Contig_15949,14,0.852,73.56,,,,,,,,,,,,,,,,,,,
Contig_42662,15,0.870,73.27,,,,,,,,,,,,,,,,,,,
Contig_42280,17,0.633,53.97,,,,,,,,,,,,,,,,17,0.743,17021056,
Contig_72883,10,0.823,73.90,,,,,,,,,,,,,,,,,,,
Soc1117,23,0.669,49.51,4,0.914,29816128,18,0.373,7154560,,,,,,,17,0.672,21326056,x,0.640,11379797,
Soc921,17,0.854,72.80,18,0.305,4970081,7_1,0.164,3812740,16,0.992,10222983,14,0.180,1848805,15,0.484,12927710,17,0.904,20692402,
Contig_31805,13,0.910,74.99,3,0.589,9899510,4,0.718,18327465,,,,,,,,,,10,0.280,6745821,
Contig_24275,2,0.711,59.78,,,,,,,,,,,,,,,,,,,
Soc655,22,0.114,9.29,,,,,,,,,,,,,,,,,,,
Contig_9565,8,0.045,4.15,,,,,,,,,,,,,,,,,,,
Soc590,23,0.824,61.01,,,,18,0.604,11591486,,,,,,,,,,x,0.875,15555885,
Soc691,6,0.641,58.57,,,,,,,,,,,,,,,,,,,
Contig_808,7,0.327,26.44,,,,,,,,,,,,,,,,,,,
Contig_65238,1,0.563,52.85,,,,5,0.073,2123288,,,,18,0.987,10928176,6,0.111,4060316,7,0.060,1697881,
Contig_42705,5,0.757,61.29,,,,,,,,,,,,,,,,,,,
Contig_46882,5,0.676,54.72,,,,,,,,,,,,,,,,,,,
Soc649,17,0.240,20.45,,,,,,,,,,,,,,,,,,,
Contig_45314,14,0.333,28.78,,,,,,,,,,,,,,,,,,,
Soc983,13,0.975,80.27,,,,4,0.985,25160854,,,,,,,,,,10,0.014,342595,
Contig_27415,4,0.937,87.95,,,,,,,,,,,,,,,,,,,
Contig_60714,6,0.034,3.11,,,,,,,,,,,,,,,,,,,
Contig_33633,3,0.128,11.76,,,,,,,,,,,,,,,,,,,
Contig_20107,17,0.988,84.21,,,,,,,,,,,,,,,,,,,
Contig_21115,23,0.102,7.52,,,,,,,,,,,,,,,,,,,
Contig_1481,23,0.102,7.52,,,,,,,,,,,,,,,,,,,
Contig_57751,21,0.783,78.11,12,0.811,14918163,6,0.836,23340468,18,0.342,2756239,,,,20,0.209,6578176,22-25,0.110,2897538,
Contig_8622,13,0.396,32.63,3,0.982,16499796,4,0.405,10348466,22,0.063,732956,,,,18,0.514,13461583,10,0.615,14788547,
Soc1022,18,0.603,51.14,8,0.701,13574673,17,0.470,13010005,20,0.534,7167506,1,0.691,15869821,23,0.925,19222620,,,,
Dla79,15,0.250,21.07,5,0.286,3502041,23,0.269,4889788,1,0.024,566202,2,0.046,983987,8,0.945,27835279,1B,0.763,13726182,
Soc442,15,0.904,76.12,,,,,,,,,,,,,,,,9,0.107,2401570,
Soc909,12,0.901,92.54,,,,,,,,,,,,,,,,,,,
Contig_11670,14,0.870,75.17,10,0.216,3376552,3,0.685,16095936,,,,,,,22,0.110,2899352,9,0.825,18457598,
Soc790,11,0.275,20.64,,,,,,,,,,,,,,,,,,,
Contig_12757,17,0.218,18.57,,,,7_1,0.697,16221458,,,,,,,,,,17,0.293,6713635,
Contig_29539,19,0.159,14.75,13,0.961,19305627,13,0.868,23653171,21,0.799,11899573,12,0.317,4005940,12,0.941,32635494,20,0.649,18433856,
Soc1054,1,0.381,35.75,9,0.248,5031283,5,0.329,9518548,,,,,,,6,0.312,11455387,7,0.872,24847258,
Soc899,1,0.045,4.19,,,,,,,,,,,,,,,,,,,
Contig_72112,13,0.445,36.67,,,,4,0.494,12612113,,,,,,,18,0.418,10943497,10,0.524,12598978,
Contig_18748,13,0.374,30.78,,,,,,,,,,,,,,,,,,,
Contig_40525,24,0.802,67.19,,,,10,0.666,18605633,,,,,,,,,,6,0.167,4707135,
Contig_34919,4,0.966,90.68,,,,,,,,,,,,,,,,,,,
Contig_42093,15,0.102,8.59,,,,,,,,,,,,,,,,1B,0.951,17105508,
Contig_53026,12,0.470,48.29,,,,,,,,,,,,,,,,,,,
Contig_40403,23,0.141,10.46,,,,18,0.836,16046169,,,,,,,17,0.197,6254798,x,0.197,3508301,
Contig_42054,24,0.947,79.38,,,,,,,,,,,,,,,,,,,
Contig_4567,9,0.846,70.30,,,,,,,,,,,,,,,,11,0.066,1721070,
Contig_31388,13,0.069,5.72,,,,,,,,,,,,,,,,,,,
Contig_207,11,0.069,5.18,,,,,,,,,,,,,,,,,,,
Contig_19914,10,0.951,85.42,,,,,,,,,,,,,,,,1A,0.939,27269698,
Contig_695,17,0.962,81.95,,,,21,0.511,14668043,,,,,,,,,,,,,
Soc698,6,0.241,22.05,,,,,,,,,,,,,,,,,,,
Soc552,8,0.794,73.25,,,,8,0.101,2623258,,,,,,,,,,2,0.658,17240449,
Contig_32689,9,0.787,65.42,,,,16-22,0.924,23872710,,,,,,,13,0.286,9393209,11,0.028,723055,
Contig_16461,13,0.116,9.53,,,,4,0.116,2950247,,,,15,0.125,915470,18,0.928,24300015,10,0.962,23148798,
Contig_8571,11,0.334,25.05,,,,1,0.321,8263591,,,,,,,,,,15,0.060,1535287,
Contig_42534,4,0.719,67.46,,,,,,,21,0.166,2469895,18,0.986,10926889,18,0.978,25612254,,,,
Contig_30158,20,0.011,1.00,,,,,,,,,,,,,14,0.637,21767794,,,,
Contig_23376,5,0.825,66.73,,,,21,0.845,24223397,,,,,,,,,,13,0.205,5655280,
Contig_11932,8,0.455,41.92,4,0.367,11985400,8,0.357,9248510,,,,,,,2,0.825,20660153,2,0.401,10515309,
Soc613,20,0.627,56.14,,,,,,,,,,,,,10,0.430,7348366,14,0.339,9627753,
Contig_13434,21,0.687,68.53,12,0.788,14495777,6,0.856,23893408,,,,,,,20,0.187,5894444,22-25,0.088,2324919,
Soc1061,3,0.862,79.51,,,,14,0.343,4822870,,,,,,,3,0.213,4112315,3,0.361,4851134,
Contig_3284,13,0.032,2.67,,,,,,,,,,,,,,,,,,,
Soc581,18,0.890,75.54,,,,17,0.844,23361925,,,,,,,17,0.006,190573,4,0.146,4023982,
Contig_9212,3,0.913,84.20,,,,14,0.108,1517180,,,,,,,,,,3,0.119,1603265,
Contig_7484,12,0.957,98.24,2,0.429,9989358,2,0.060,1817007,13,0.875,14824708,5,0.488,6529358,1,0.346,10784067,5,0.477,15558627,
Contig_18072,16,0.504,50.92,,,,19,0.401,9824698,,,,,,,,,,12,0.407,9461498,
Contig_8095,11,0.105,7.88,,,,,,,,,,,,,,,,15,0.801,20488018,
Contig_89815,19,0.781,72.50,13,0.572,11479926,13,0.501,13639578,,,,,,,12,0.355,12294279,20,0.247,7020449,
Contig_4561,14,0.319,27.51,,,,,,,,,,12,0.210,2650689,,,,,,,
Contig_8734,10,0.104,9.33,17,0.667,9743244,12,0.557,15496132,19,0.726,10291730,11,0.164,1960732,,,,1A,0.321,9327564,
Contig_11587,4,0.269,25.23,,,,,,,,,,,,,,,,,,,
Soc1129,8,0.590,54.36,4,0.430,14044267,8,0.272,7055047,,,,,,,2,0.928,23247552,2,0.488,12792217,
Contig_19224,6,0.619,56.53,20,0.708,13979315,15,0.207,6366548,7,0.003,44320,,,,,,,16,0.162,4186481,
Contig_36986,6,0.789,72.09,,,,,,,,,,,,,,,,,,,
Contig_5090,24,0.298,24.95,19,0.275,5565855,10,0.289,8064578,9,0.798,11110478,13,0.741,9863813,13,0.933,30577026,6,0.554,15616422,
Contig_10565,5,0.953,77.12,1,0.630,17765348,21,0.062,1790190,,,,,,,,,,13,0.016,441513,
Contig_68440,14,0.559,48.24,,,,3,0.275,6459348,,,,,,,22,0.894,23616590,9,0.382,8543810,
Soc661,18,0.489,41.46,,,,17,0.370,10240247,,,,,,,,,,4,0.629,17353791,
Contig_105085,4,0.289,27.11,11,0.382,6389361,11,0.206,4801179,5,0.851,10371067,3,0.874,13532440,4,0.723,20724410,8,0.682,15724881,
Contig_35183,8,0.965,89.00,4,0.147,4796131,8,0.930,24106561,,,,,,,2,0.140,3510157,2,0.775,20323841,
Contig_24251,22,0.532,43.28,,,,9,0.421,9682224,,,,,,,7,0.386,19727531,19,0.653,15143486,
Contig_5875,8,0.305,28.14,4,0.172,5599983,8,0.589,15262726,14,0.132,1630138,,,,2,0.552,13823662,2,0.210,5498425,
Contig_7216,15,0.063,5.28,,,,23,0.939,17069076,,,,,,,8,0.811,23884553,,,,
Contig_14799,14,0.575,49.65,10,0.637,9980246,3,0.347,8146676,12,0.278,2959980,21,0.507,2959630,22,0.811,21429754,9,0.460,10279615,
Soc521,23,0.265,19.60,4,0.639,20846916,18,0.213,4080635,,,,,,,,,,x,0.371,6594577,
Soc1002,19,0.887,82.35,,,,,,,,,,,,,,,,,,,
Contig_36153,9,0.122,10.15,6,0.964,16467976,,,,,,,,,,,,,,,,
Contig_32815,13,0.971,80.00,,,,3,0.246,5788432,,,,,,,,,,,,,
Contig_15357,1,0.316,29.65,9,0.324,6555332,5,0.248,7196402,17,0.682,7632922,18,0.733,8114961,6,0.265,9720852,7,0.791,22518823,
Contig_23868,10,0.087,7.77,17,0.668,9750721,12,0.556,15485953,,,,,,,5,0.295,11026458,1A,0.320,9300613,
Contig_49010,24,0.417,34.96,19,0.608,12307875,10,0.437,12213592,,,,,,,7,0.766,39086411,6,0.405,11427196,
Soc566,24,0.141,11.79,,,,,,,,,,,,,,,,,,,
Contig_24723,7,0.499,40.30,21,0.670,7854507,24,0.613,12141948,,,,,,,,,,18-21,0.536,8821625,
Contig_22492,8,0.045,4.15,,,,8,0.869,22514604,14,0.975,12014607,20,0.828,3144242,2,0.208,5212245,2,0.858,22504032,
Contig_5264,15,0.232,19.54,5,0.300,3673967,23,0.788,14317810,1,0.031,726665,2,0.053,1138705,8,0.936,27555629,1B,0.776,13957989,
Contig_81102,18,0.692,58.70,,,,17,0.617,17065006,,,,,,,,,,4,0.378,10429283,
Lcr12,22,0.920,74.87,14,0.116,1768693,9,0.773,17778988,,,,,,,7,0.240,12267243,19,0.298,6904840,
Contig_31952,8,0.554,51.07,,,,8,0.300,7763151,,,,,,,2,0.895,22417356,2,0.459,12040278,
Soc1155,13,0.967,79.65,3,0.273,4591971,4,0.801,20458653,22,0.912,10589726,15,0.248,1817110,18,0.106,2769743,10,0.192,4616361,
Contig_3967,4,0.257,24.14,,,,,,,,,,,,,,,,,,,
Contig_3304,18,0.684,58.04,,,,,,,,,,,,,,,,,,,
Contig_30272,12,0.500,51.34,,,,,,,,,,,,,,,,5,0.122,3964975,
Contig_11834,12,0.968,99.34,,,,,,,2,0.240,2740706,,,,,,,,,,
Contig_6596,5,0.765,61.91,,,,21,0.867,24868439,,,,7,0.473,5534009,14,0.083,2833078,13,0.187,5154616,
Soc554,15,0.102,8.59,,,,,,,,,,,,,,,,,,,
Contig_1445,4,0.719,67.46,,,,,,,,,,,,,,,,,,,
Contig_10230,13,0.374,30.78,,,,,,,,,,,,,,,,10,0.682,16401849,
Soc930,13,0.119,9.84,3,0.711,11944388,,,,,,,,,,18,0.698,18296251,10,0.754,18125276,
Contig_18518,21,0.290,28.97,,,,,,,,,,,,,,,,,,,
Contig_29062,7,0.063,5.05,10,0.091,1427100,,,,,,,,,,,,,,,,
Contig_10465,7,0.054,4.35,,,,,,,,,,,,,,,,,,,
Contig_11403,17,0.154,13.08,,,,,,,,,,,,,,,,17,0.080,1828876,
Soc955,1,0.297,27.90,,,,,,,,,,,,,6,0.351,12905929,,,,
Contig_7773,13,0.374,30.78,,,,,,,,,,,,,,,,,,,
Contig_20213,10,0.944,84.79,,,,,,,,,,,,,,,,,,,
Contig_3343,4,0.223,20.96,11,0.012,202488,,,,5,0.181,2202054,,,,4,0.542,15530817,,,,
Contig_14166,20,0.022,2.01,,,,,,,,,,,,,,,,14,0.610,17307525,
Soc733,14,0.852,73.56,,,,,,,,,,,,,,,,9,0.720,16096753,
Contig_8822,2,0.475,39.94,1,0.865,24381281,7_2,0.612,8514490,,,,,,,,,,24,0.659,9178921,
Contig_53933,6,0.114,10.37,,,,15,0.485,14935168,,,,,,,,,,16,0.825,21314081,
Contig_99535,23,0.091,6.72,4,0.680,22199202,18,0.765,14692239,,,,,,,,,,x,0.281,4990445,
Contig_31194,22,0.655,53.26,,,,,,,,,,,,,,,,,,,
Contig_26919,12,0.373,38.25,,,,,,,,,,,,,,,,,,,
Soc731,17,0.772,65.74,,,,7_1,0.239,5552702,,,,,,,,,,17,0.542,12413889,
Contig_56915,20,0.443,39.71,,,,,,,,,,,,,,,,14,0.831,23582323,
Contig_12832,12,0.862,88.45,,,,,,,,,,,,,,,,,,,
Contig_29800,22,0.019,1.57,,,,,,,,,,,,,,,,,,,
Contig_10198,17,0.048,4.07,,,,,,,,,,,,,,,,17,0.047,1067900,
Contig_46859,18,0.419,35.58,,,,17,0.304,8426330,20,0.319,4272327,,,,23,0.742,15418945,4,0.686,18926577,
Soc1037,21,0.231,22.99,,,,6,0.368,10281107,,,,,,,,,,22-25,0.596,15753129,
Soc544,22,0.340,27.66,,,,,,,,,,,,,,,,,,,
Soc1015,3,0.791,72.93,,,,,,,,,,,,,,,,,,,
Soc949,5,0.128,10.33,1,0.371,10444908,21,0.485,13918678,11,0.482,5412759,,,,,,,13,0.689,19041323,
Contig_20915,14,0.937,80.97,,,,,,,,,,,,,,,,,,,
Contig_20660,2,0.253,21.27,,,,7_2,0.866,12045810,,,,,,,,,,24,0.408,5672215,
Contig_9657,1,0.491,46.07,,,,5,0.142,4108956,,,,,,,6,0.200,7331332,7,0.951,27074554,
Contig_12011,4,0.426,40.00,11,0.599,10012985,11,0.450,10484182,5,0.565,6888553,,,,,,,8,0.355,8186383,
Contig_70620,1,0.885,83.11,,,,,,,,,,,,,,,,,,,
Contig_26465,6,0.786,71.77,,,,,,,,,,,,,,,,,,,
Soc1032,19,0.565,52.48,,,,,,,,,,,,,,,,,,,
Contig_15574,5,0.259,20.94,,,,,,,1,0.620,14415599,10,0.682,9051310,,,,,,,
Contig_17959,2,0.708,59.53,,,,,,,,,,,,,,,,,,,
Contig_8792,19,0.803,74.62,,,,13,0.513,13976355,,,,,,,,,,20,0.260,7371352,
Contig_32642,3,0.906,83.54,,,,14,0.146,2052415,,,,,,,,,,3,0.162,2178719,
Contig_5025,23,0.584,43.27,,,,18,0.321,6168086,,,,,,,,,,x,0.583,10368811,
Contig_38218,11,0.485,36.35,16,0.736,13332724,1,0.512,13165152,1,0.772,17957728,2,0.756,16330576,16,0.592,20640099,15,0.349,8914448,
Contig_1141,24,0.879,73.65,19,0.465,9415131,10,0.055,1543825,,,,13,0.999,13290708,7,0.066,3375174,6,0.031,866872,
Contig_13928,21,0.646,64.42,,,,,,,,,,,,,,,,22-25,0.047,1251560,
Contig_14430,18,0.419,35.58,,,,,,,,,,,,,,,,,,,
Soc1083,1,0.843,79.21,,,,,,,,,,,,,6,0.935,34337414,7,0.165,4710746,
Contig_53522,2,0.375,31.54,,,,,,,,,,,,,,,,,,,
Contig_17360,16,0.090,9.11,,,,,,,,,,,,,,,,,,,
Contig_10552,11,0.212,15.89,16,0.201,3644118,1,0.899,23115629,,,,,,,16,0.279,9742574,15,0.756,19327578,
Contig_18866,24,0.386,32.32,19,0.636,12876467,10,0.455,12703113,9,0.038,526599,13,0.204,2717670,7,0.776,39597631,6,0.388,10942545,
Contig_16964,9,0.509,42.32,,,,,,,,,,,,,,,,,,,
Contig_70686,6,0.656,59.93,,,,15,0.227,6993684,,,,,,,,,,16,0.186,4803994,
Contig_6618,7,0.042,3.39,,,,,,,7,0.233,3338903,,,,,,,5,0.064,2082833,
Soc201,6,0.793,72.40,,,,,,,,,,,,,,,,,,,
Contig_913,16,0.928,93.80,,,,,,,,,,,,,,,,,,,
Soc659,19,0.098,9.07,13,0.794,15947177,13,0.703,19140530,,,,,,,12,0.158,5478264,20,0.813,23097051,
Contig_7095,1,0.045,4.19,9,0.881,17835075,5,0.584,16922935,,,,,,,,,,7,0.547,15592542,
Contig_10881,21,0.045,4.47,,,,,,,,,,,,,,,,22-25,0.902,23855116,
Contig_87980,19,0.345,32.01,,,,13,0.114,3106769,,,,,,,12,0.734,25448460,20,0.546,15500073,
Contig_11709,24,0.355,29.72,,,,10,0.359,10021599,,,,,,,13,0.867,28416401,6,0.483,13617294,
Dla68,3,0.327,30.15,7,0.060,1666670,14,0.781,10994984,,,,,,,,,,14,0.111,3151759,
Contig_89743,4,0.614,57.58,,,,,,,,,,,,,,,,,,,
Contig_60508,10,0.286,25.67,17,0.766,11192611,12,0.379,10559681,,,,,,,5,0.185,6909239,1A,0.200,5798754,
Contig_90642,12,0.753,77.34,,,,2,0.912,27731595,,,,,,,,,,5,0.364,11865248,
Soc716,13,0.069,5.72,,,,,,,,,,,,,,,,,,,
Contig_5223,14,0.311,26.89,,,,,,,,,,,,,,,,,,,
Contig_2506,9,0.204,16.94,6,0.908,15506606,16-22,0.703,18180428,,,,17,0.716,8694791,13,0.119,3913891,11,0.763,19996248,
Contig_1015,15,0.582,49.01,5,0.190,2333585,23,0.338,6140795,,,,2,0.011,244231,,,,1B,0.688,12382877,
Soc670,22,0.920,74.87,,,,,,,,,,,,,,,,,,,
Contig_34626,21,0.125,12.45,,,,,,,,,,,,,,,,,,,
Contig_21967,3,0.933,86.05,,,,14,0.009,127495,,,,,,,,,,3,0.006,86062,
Contig_4059,24,0.613,51.39,19,0.829,16785516,10,0.498,13912244,,,,,,,,,,6,0.343,9658655,
Contig_78602,6,0.037,3.42,,,,,,,,,,,,,,,,,,,
Contig_39511,14,0.852,73.56,,,,,,,,,,,,,,,,,,,
